vl,universe,window,bar_idx,equity
8,OldGuardNoBNB,5,30,0.755866
8,OldGuardNoBNB,5,35,0.755866
8,OldGuardNoBNB,5,40,1.079050
8,OldGuardNoBNB,5,45,1.079050
8,OldGuardNoBNB,5,50,1.590643
8,OldGuardNoBNB,5,55,1.590643
8,OldGuardNoBNB,5,60,1.687622
8,OldGuardNoBNB,5,65,1.687622
8,OldGuardNoBNB,5,70,1.687622
8,OldGuardNoBNB,5,75,1.687622
8,OldGuardNoBNB,5,80,1.443625
8,OldGuardNoBNB,5,85,1.443625
8,OldGuardNoBNB,5,90,1.443625
8,OldGuardNoBNB,5,95,1.443625
8,OldGuardNoBNB,5,100,1.350219
8,OldGuardNoBNB,5,105,1.350219
8,OldGuardNoBNB,5,110,1.281005
8,OldGuardNoBNB,5,115,1.281005
8,OldGuardNoBNB,5,120,1.281005
8,OldGuardNoBNB,5,125,1.281005
8,OldGuardNoBNB,5,130,1.281005
8,OldGuardNoBNB,5,133,1.249780
8,LargeCaps5,0,0,1.000000
8,LargeCaps5,0,5,1.240081
8,LargeCaps5,0,10,0.746117
8,LargeCaps5,0,15,0.746117
8,LargeCaps5,0,20,0.746117
8,LargeCaps5,0,25,0.746117
8,LargeCaps5,0,30,0.746117
8,LargeCaps5,0,35,0.656735
8,LargeCaps5,0,40,0.588750
8,LargeCaps5,0,45,0.588750
8,LargeCaps5,0,50,0.588750
8,LargeCaps5,0,55,0.588750
8,LargeCaps5,0,60,0.906923
8,LargeCaps5,0,65,1.976037
8,LargeCaps5,0,70,2.423959
8,LargeCaps5,0,75,2.423959
8,LargeCaps5,0,80,2.807741
8,LargeCaps5,0,85,2.500463
8,LargeCaps5,0,90,2.500463
8,LargeCaps5,0,95,3.513046
8,LargeCaps5,1,0,1.000000
8,LargeCaps5,1,5,1.000000
8,LargeCaps5,1,10,1.000000
8,LargeCaps5,1,15,1.000000
8,LargeCaps5,1,20,1.000000
8,LargeCaps5,1,25,1.000000
8,LargeCaps5,1,30,1.000000
8,LargeCaps5,1,35,0.994667
8,LargeCaps5,1,40,0.862424
8,LargeCaps5,1,45,0.862424
8,LargeCaps5,1,50,0.862424
8,LargeCaps5,1,55,0.862424
8,LargeCaps5,1,60,0.862424
8,LargeCaps5,1,65,0.831743
8,LargeCaps5,1,70,0.831743
8,LargeCaps5,1,75,0.831743
8,LargeCaps5,1,80,0.890935
8,LargeCaps5,1,85,0.818361
8,LargeCaps5,1,90,0.737300
8,LargeCaps5,1,95,0.737300
8,LargeCaps5,1,100,0.737300
8,LargeCaps5,1,105,0.737300
8,LargeCaps5,1,110,0.737300
8,LargeCaps5,1,115,0.737300
8,LargeCaps5,1,120,0.737300
8,LargeCaps5,1,125,0.705656
8,LargeCaps5,1,130,0.665190
8,LargeCaps5,1,135,0.665190
8,LargeCaps5,1,137,0.665190
8,LargeCaps5,2,0,1.000000
8,LargeCaps5,2,5,1.000000
8,LargeCaps5,2,10,0.859657
8,LargeCaps5,2,15,0.859657
8,LargeCaps5,2,20,0.859657
