mult,universe,pases,avg_sharpe,return_pct,dd_pct,trades
3.25,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
3.25,LargeCaps5,3,4.9219,1276.84,64.45,92
3.25,Legacy3,5,3.2603,1033.47,61.81,123
3.25,LowVolume5,6,18.3043,2032.57,70.43,110
3.25,OldGuard4,4,-5.7770,134.53,61.81,110
3.30,Base5,5,22.7380,815.95,59.23,92
3.30,NoDOGE,3,4.7704,1274.15,66.57,92
3.30,Legacy4,5,4.1618,1061.29,61.81,120
3.30,Legacy5BNB,8,35.6246,2308.38,38.42,122
3.30,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
3.30,LargeCaps5,3,4.7704,1274.15,66.57,92
3.30,Legacy3,5,3.2603,1033.47,61.81,123
3.30,LowVolume5,6,18.3043,2032.57,70.43,110
3.30,OldGuard4,4,-5.7770,134.53,61.81,110
3.35,Base5,6,22.9786,820.89,56.33,92
3.35,NoDOGE,3,4.9219,1276.84,64.45,92
3.35,Legacy4,5,4.1618,1061.29,61.81,120
3.35,Legacy5BNB,8,35.6246,2308.38,38.42,122
3.35,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
3.35,LargeCaps5,3,4.9219,1276.84,64.45,92
3.35,Legacy3,5,3.2603,1033.47,61.81,123
3.35,LowVolume5,6,18.3043,2032.57,70.43,110
3.35,OldGuard4,4,-5.7770,134.53,61.81,110
3.40,Base5,6,22.9786,820.89,56.33,92
3.40,NoDOGE,3,4.9219,1276.84,64.45,92
3.40,Legacy4,5,4.1618,1061.29,61.81,120
3.40,Legacy5BNB,8,35.6246,2308.38,38.42,122
3.40,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
3.40,LargeCaps5,3,4.9219,1276.84,64.45,92
3.40,Legacy3,5,3.2603,1033.47,61.81,123
3.40,LowVolume5,6,18.3043,2032.57,70.43,110
3.40,OldGuard4,4,-5.7770,134.53,61.81,110
3.45,Base5,6,22.9786,820.89,56.33,92
3.45,NoDOGE,3,4.9219,1276.84,64.45,92
3.45,Legacy4,5,4.1618,1061.29,61.81,120
3.45,Legacy5BNB,8,35.6246,2308.38,38.42,122
3.45,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
3.45,LargeCaps5,3,4.9219,1276.84,64.45,92
3.45,Legacy3,5,3.2603,1033.47,61.81,123
3.45,LowVolume5,6,18.3043,2032.57,70.43,110
3.45,OldGuard4,4,-5.7770,134.53,61.81,110
3.50,Base5,6,22.9786,820.89,56.33,92
3.50,NoDOGE,3,4.9219,1276.84,64.45,92
3.50,Legacy4,5,4.1618,1061.29,61.81,120
3.50,Legacy5BNB,8,35.6246,2308.38,38.42,122
3.50,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
3.50,LargeCaps5,3,4.9219,1276.84,64.45,92
3.50,Legacy3,5,3.2603,1033.47,61.81,123
3.50,LowVolume5,6,18.3043,2032.57,70.43,110
3.50,OldGuard4,4,-5.7770,134.53,61.81,110
3.55,Base5,6,22.9786,820.89,56.33,92
3.55,NoDOGE,3,4.9219,1276.84,64.45,92
3.55,Legacy4,5,4.1618,1061.29,61.81,120
3.55,Legacy5BNB,8,35.6246,2308.38,38.42,122
3.55,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
3.55,LargeCaps5,3,4.9219,1276.84,64.45,92
3.55,Legacy3,5,3.2603,1033.47,61.81,123
3.55,LowVolume5,6,18.3043,2032.57,70.43,110
3.55,OldGuard4,4,-5.7770,134.53,61.81,110
3.60,Base5,6,22.9786,820.89,56.33,92
3.60,NoDOGE,3,4.9219,1276.84,64.45,92
3.60,Legacy4,5,4.1618,1061.29,61.81,120
3.60,Legacy5BNB,8,35.6246,2308.38,38.42,122
3.60,OldGuardNoBNB,4,-4.8755,162.36,61.81,107
