step,cap_1,cap_2,cap_3,cap_4,cap_5,cap_6,cap_7,cap_8,cap_9,cap_10
196,6.711038,13.860073,100.305796,19.692012,24.619845,26.202696,26.202696,26.202696,26.202696,26.202696
197,5.736388,13.860073,105.416420,19.692012,24.619845,26.202696,26.202696,26.202696,26.202696,26.202696
198,5.736388,13.860073,99.570252,22.279085,24.619845,26.202696,26.202696,26.202696,26.202696,26.202696
199,5.736388,13.860073,99.570252,23.134212,24.619845,26.202696,26.202696,26.202696,26.202696,26.202696
200,5.736388,13.860073,99.570252,23.134212,24.619845,26.202696,26.202696,26.202696,26.202696,26.202696
201,5.736388,13.860073,99.570252,23.134212,24.619845,26.202696,26.202696,26.202696,26.202696,26.202696
202,5.736388,13.860073,99.570252,23.134212,22.905670,26.202696,26.202696,26.202696,26.202696,26.202696
203,5.736388,13.860073,99.570252,23.134212,24.981881,26.202696,26.202696,26.202696,26.202696,26.202696
204,5.736388,39.877699,99.570252,23.134212,28.484948,26.202696,26.202696,26.202696,26.202696,26.202696
205,5.736388,39.877699,99.570252,23.134212,32.728791,26.202696,26.202696,26.202696,26.202696,26.202696
206,5.736388,39.877699,99.570252,23.134212,66.340916,26.202696,26.202696,26.202696,26.202696,26.202696
207,5.736388,39.877699,99.570252,23.134212,66.340916,26.202696,26.202696,26.202696,26.202696,26.202696
208,5.736388,39.877699,99.570252,20.759836,66.340916,26.202696,26.202696,26.202696,26.202696,26.202696
209,5.736388,39.877699,99.570252,20.759836,66.340916,26.202696,26.202696,26.202696,26.202696,26.202696
210,5.736388,39.877699,99.570252,20.759836,66.340916,26.202696,26.202696,26.202696,26.202696,26.202696
211,6.108327,46.407444,99.570252,20.759836,68.921580,26.202696,26.202696,26.202696,26.202696,26.202696
212,6.108327,46.407444,99.570252,20.759836,97.098115,26.202696,26.202696,26.202696,26.202696,26.202696
213,6.108327,46.407444,99.570252,20.759836,115.941682,26.202696,26.202696,26.202696,26.202696,26.202696
214,6.108327,46.407444,124.450459,20.759836,115.941682,26.202696,26.202696,26.202696,26.202696,26.202696
215,6.108327,46.407444,124.450459,20.759836,115.941682,26.202696,26.202696,26.202696,26.202696,26.202696
