hm,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass,equity_final
35,Legacy4,4,4.08,1.1508,26.93,11,36.36,true,1.040801
40,Legacy4,4,4.08,1.1508,26.93,11,36.36,true,1.040801
45,Legacy4,4,4.08,1.1508,26.93,11,36.36,true,1.040801
50,Legacy4,4,4.08,1.1508,26.93,11,36.36,true,1.040801
60,Legacy4,4,4.08,1.1508,26.93,11,36.36,true,1.040801
75,Legacy4,4,4.08,1.1508,26.93,11,36.36,true,1.040801
90,Legacy4,4,4.08,1.1508,26.93,11,36.36,true,1.040801
120,Legacy4,4,4.08,1.1508,26.93,11,36.36,true,1.040801
180,Legacy4,4,4.08,1.1508,26.93,11,36.36,true,1.040801
5,Legacy4,5,-19.97,-1.1020,36.16,21,33.33,false,0.800324
8,Legacy4,5,-7.25,-0.1877,30.23,18,44.44,false,0.927526
10,Legacy4,5,-23.42,-2.0675,31.19,18,38.89,false,0.765807
12,Legacy4,5,-27.59,-2.6571,34.94,18,33.33,false,0.724082
15,Legacy4,5,-18.39,-1.1890,30.59,18,33.33,false,0.816135
18,Legacy4,5,-17.13,-1.1260,30.23,17,35.29,false,0.828708
20,Legacy4,5,-19.96,-1.5245,30.23,17,35.29,false,0.800426
22,Legacy4,5,-19.96,-1.5245,30.23,17,35.29,false,0.800426
25,Legacy4,5,-19.96,-1.5245,30.23,17,35.29,false,0.800426
30,Legacy4,5,-19.96,-1.5245,30.23,17,35.29,false,0.800426
35,Legacy4,5,-19.96,-1.5245,30.23,17,35.29,false,0.800426
40,Legacy4,5,-19.96,-1.5245,30.23,17,35.29,false,0.800426
45,Legacy4,5,-19.96,-1.5245,30.23,17,35.29,false,0.800426
50,Legacy4,5,-19.96,-1.5245,30.23,17,35.29,false,0.800426
60,Legacy4,5,-19.96,-1.5245,30.23,17,35.29,false,0.800426
75,Legacy4,5,-19.96,-1.5245,30.23,17,35.29,false,0.800426
90,Legacy4,5,-19.96,-1.5245,30.23,17,35.29,false,0.800426
120,Legacy4,5,-19.96,-1.5245,30.23,17,35.29,false,0.800426
180,Legacy4,5,-19.96,-1.5245,30.23,17,35.29,false,0.800426
5,Legacy5BNB,0,56.65,3.5796,23.19,29,55.17,true,1.566536
8,Legacy5BNB,0,30.40,2.5745,27.77,26,46.15,true,1.304031
10,Legacy5BNB,0,51.57,3.5724,27.77,25,52.00,true,1.515707
12,Legacy5BNB,0,45.62,3.0979,29.02,23,56.52,true,1.456205
15,Legacy5BNB,0,26.87,2.2943,27.77,22,54.55,true,1.268735
18,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
20,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
22,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
25,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
30,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
35,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
40,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
45,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
50,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
60,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
75,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
90,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
120,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
180,Legacy5BNB,0,18.66,1.7975,27.77,22,54.55,true,1.186568
5,Legacy5BNB,1,78.46,5.9627,13.74,20,55.00,true,1.784579
8,Legacy5BNB,1,39.28,5.1742,16.93,15,60.00,true,1.392822
10,Legacy5BNB,1,48.70,6.2246,12.77,14,71.43,true,1.486967
12,Legacy5BNB,1,52.91,6.3238,16.95,14,71.43,true,1.529058
15,Legacy5BNB,1,89.35,7.5260,20.76,14,71.43,true,1.893482
18,Legacy5BNB,1,97.02,10.1380,16.02,13,69.23,true,1.970191
20,Legacy5BNB,1,97.60,9.4791,16.02,13,69.23,true,1.976034
22,Legacy5BNB,1,113.26,11.5708,16.02,12,75.00,true,2.132564
25,Legacy5BNB,1,103.20,10.9349,16.02,12,75.00,true,2.032017
30,Legacy5BNB,1,103.20,10.9349,16.02,12,75.00,true,2.032017
35,Legacy5BNB,1,103.20,10.9349,16.02,12,75.00,true,2.032017
40,Legacy5BNB,1,103.20,10.9349,16.02,12,75.00,true,2.032017
45,Legacy5BNB,1,103.20,10.9349,16.02,12,75.00,true,2.032017
50,Legacy5BNB,1,103.20,10.9349,16.02,12,75.00,true,2.032017
60,Legacy5BNB,1,103.20,10.9349,16.02,12,75.00,true,2.032017
75,Legacy5BNB,1,103.20,10.9349,16.02,12,75.00,true,2.032017
90,Legacy5BNB,1,103.20,10.9349,16.02,12,75.00,true,2.032017
120,Legacy5BNB,1,103.20,10.9349,16.02,12,75.00,true,2.032017
