hedge_atr_period,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
35,Legacy5BNB,2,1.51813812,51.8138,2.684482,7.5456,55,52.7273,true
35,Legacy5BNB,3,0.98971946,-1.0281,0.032249,13.6142,37,54.0541,false
35,Legacy5BNB,4,0.98043663,-1.9563,0.027015,26.3902,57,45.6140,false
35,Legacy5BNB,5,1.05062271,5.0623,0.922899,6.0887,43,30.2326,true
35,Legacy5BNB,6,1.08733047,8.7330,1.457381,5.0630,68,48.5294,true
35,OldGuardNoBNB,0,1.39913300,39.9133,2.529458,4.9496,43,51.1628,true
35,OldGuardNoBNB,1,1.28332193,28.3322,2.810561,4.8377,66,57.5758,true
35,OldGuardNoBNB,2,1.52276160,52.2762,2.916222,5.8794,52,50.0000,true
35,OldGuardNoBNB,3,1.13764909,13.7649,0.974417,9.8338,44,50.0000,true
35,OldGuardNoBNB,4,0.85931282,-14.0687,-0.658244,33.0764,61,39.3443,false
35,OldGuardNoBNB,5,1.03165499,3.1655,0.583825,6.8457,46,32.6087,true
35,OldGuardNoBNB,6,1.03543125,3.5431,0.623623,7.0152,62,45.1613,true
35,LargeCaps5,0,1.47278243,47.2782,2.679061,5.6809,53,49.0566,true
35,LargeCaps5,1,1.14781686,14.7817,1.313359,7.7868,80,47.5000,true
35,LargeCaps5,2,1.57335485,57.3355,3.202698,8.1018,72,58.3333,true
35,LargeCaps5,3,0.97248897,-2.7511,-0.179696,14.3717,38,52.6316,false
35,LargeCaps5,4,1.15759987,15.7600,0.910259,19.0614,54,53.7037,true
35,LargeCaps5,5,1.18519197,18.5192,2.074927,4.4757,46,43.4783,true
35,Legacy3,0,1.25000928,25.0009,2.480818,3.6368,33,48.4848,true
35,Legacy3,1,1.25010986,25.0110,3.349709,4.4304,55,60.0000,true
35,Legacy3,2,1.26018761,26.0188,2.242496,3.9350,34,52.9412,true
35,Legacy3,3,1.01815592,1.8156,0.248681,8.2997,26,53.8462,true
35,Legacy3,4,0.86543051,-13.4569,-1.047187,25.9615,44,40.9091,false
35,Legacy3,5,1.05349747,5.3497,1.090842,6.4753,34,29.4118,true
35,Legacy3,6,1.04737368,4.7374,0.993707,4.1013,48,47.9167,true
35,LowVolume5,0,1.25518333,25.5183,1.994593,7.6747,45,51.1111,true
35,LowVolume5,1,1.12052090,12.0521,1.573556,9.5251,65,50.7692,true
35,LowVolume5,2,1.18638354,18.6384,1.624632,6.4931,47,44.6809,true
35,LowVolume5,3,1.02750383,2.7504,0.286959,17.2778,45,42.2222,true
35,LowVolume5,4,0.82006765,-17.9932,-1.218693,27.1522,49,38.7755,false
35,LowVolume5,5,1.22819487,22.8195,2.307041,6.9682,46,39.1304,true
35,LowVolume5,6,0.91986396,-8.0136,-1.768210,8.6797,45,40.0000,false
35,OldGuard4,0,1.16825911,16.8259,1.606967,5.4626,37,45.9459,true
35,OldGuard4,1,1.20110204,20.1102,2.685863,4.4304,58,56.8966,true
35,OldGuard4,2,1.32388151,32.3882,2.505482,4.7841,44,47.7273,true
35,OldGuard4,3,1.12002157,12.0022,0.876703,10.7418,40,47.5000,true
