bar,date,equity
864,2022-12-23 00:00:00,0.8926762573
865,2022-12-24 00:00:00,0.8926762573
866,2022-12-25 00:00:00,0.8926762573
867,2022-12-26 00:00:00,0.8926762573
868,2022-12-27 00:00:00,0.8926762573
869,2022-12-28 00:00:00,0.8926762573
870,2022-12-29 00:00:00,0.8926762573
871,2022-12-30 00:00:00,0.8926762573
872,2022-12-31 00:00:00,0.8926762573
873,2023-01-01 00:00:00,0.8926762573
874,2023-01-02 00:00:00,0.8926762573
875,2023-01-03 00:00:00,0.8926762573
876,2023-01-04 00:00:00,0.8926762573
877,2023-01-05 00:00:00,0.8926762573
878,2023-01-06 00:00:00,0.8926762573
879,2023-01-07 00:00:00,0.8926762573
880,2023-01-08 00:00:00,0.8926762573
881,2023-01-09 00:00:00,0.8926762573
882,2023-01-10 00:00:00,0.8919624018
883,2023-01-11 00:00:00,0.9138545102
884,2023-01-12 00:00:00,0.9216115270
885,2023-01-13 00:00:00,0.9638958591
886,2023-01-14 00:00:00,0.9975002639
887,2023-01-15 00:00:00,0.9959113467
888,2023-01-16 00:00:00,1.0061374974
889,2023-01-17 00:00:00,1.0036954292
890,2023-01-18 00:00:00,0.9920671464
891,2023-01-19 00:00:00,0.9920671464
892,2023-01-20 00:00:00,0.9915382554
893,2023-01-21 00:00:00,0.9868867447
894,2023-01-22 00:00:00,0.9856746404
895,2023-01-23 00:00:00,0.9894969408
896,2023-01-24 00:00:00,0.9545372411
897,2023-01-25 00:00:00,0.9605455952
898,2023-01-26 00:00:00,0.9605455952
899,2023-01-27 00:00:00,0.9604431780
900,2023-01-28 00:00:00,0.9601572239
901,2023-01-29 00:00:00,0.9640462953
902,2023-01-30 00:00:00,0.9565220742
903,2023-01-31 00:00:00,0.9691888893
904,2023-02-01 00:00:00,0.9695894913
905,2023-02-02 00:00:00,0.9639195742
906,2023-02-03 00:00:00,0.9662565264
907,2023-02-04 00:00:00,0.9697859648
908,2023-02-05 00:00:00,0.9595566840
909,2023-02-06 00:00:00,0.9539557815
910,2023-02-07 00:00:00,0.9652043277
911,2023-02-08 00:00:00,0.9587435188
912,2023-02-09 00:00:00,0.9383788853
913,2023-02-10 00:00:00,0.9383788853
914,2023-02-11 00:00:00,0.9383788853
915,2023-02-12 00:00:00,0.9383788853
916,2023-02-13 00:00:00,0.9383788853
917,2023-02-14 00:00:00,0.9383788853
918,2023-02-15 00:00:00,0.9381787778
919,2023-02-16 00:00:00,0.9312798181
920,2023-02-17 00:00:00,0.9353434172
921,2023-02-18 00:00:00,0.9354901761
922,2023-02-19 00:00:00,0.9327837664
923,2023-02-20 00:00:00,0.9373211627
924,2023-02-21 00:00:00,0.9260464184
925,2023-02-22 00:00:00,0.9196066877
926,2023-02-23 00:00:00,0.9189372417
927,2023-02-24 00:00:00,0.9120521359
928,2023-02-25 00:00:00,0.9120521359
929,2023-02-26 00:00:00,0.9120521359
930,2023-02-27 00:00:00,0.9120521359
931,2023-02-28 00:00:00,0.9120521359
932,2023-03-01 00:00:00,0.9120521359
933,2023-03-02 00:00:00,0.9120521359
