cooldown,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
1,Legacy5BNB,4,0.96398483,-3.6015,-0.098100,29.8324,59,45.7627,false
1,Legacy5BNB,5,1.00731889,0.7319,0.160950,8.6200,44,36.3636,true
1,Legacy5BNB,6,1.08023892,8.0239,1.047410,7.9968,71,49.2958,true
1,OldGuardNoBNB,0,1.40319530,40.3195,2.164051,7.8431,45,53.3333,true
1,OldGuardNoBNB,1,1.44619262,44.6193,3.277118,6.5628,68,57.3529,true
1,OldGuardNoBNB,2,1.52951806,52.9518,2.643689,7.5704,55,50.9091,true
1,OldGuardNoBNB,3,1.18516370,18.5164,1.116137,10.4870,45,48.8889,true
1,OldGuardNoBNB,4,0.87673083,-12.3269,-0.609252,33.2587,62,40.3226,false
1,OldGuardNoBNB,5,0.99855274,-0.1447,0.029062,9.5980,47,36.1702,false
1,OldGuardNoBNB,6,1.01313206,1.3132,0.225513,11.5248,66,45.4545,true
1,LargeCaps5,0,1.39572797,39.5728,2.212465,7.5934,54,51.8519,true
1,LargeCaps5,1,1.32549718,32.5497,2.146551,7.2722,83,48.1928,true
1,LargeCaps5,2,1.77686992,77.6870,3.488341,9.7969,74,60.8108,true
1,LargeCaps5,3,1.03004564,3.0046,0.323533,15.9978,40,50.0000,true
1,LargeCaps5,4,1.01516260,1.5163,0.215441,21.2526,60,50.0000,true
1,LargeCaps5,5,1.12825550,12.8255,1.363789,6.2616,48,47.9167,true
