em,universe,window,bar_idx,equity
1.26,LowVolume5,3,120,2.27123616
1.26,LowVolume5,3,130,2.27123616
1.26,LowVolume5,3,140,2.27123616
1.26,LowVolume5,3,150,2.27123616
1.26,LowVolume5,4,0,1.00000000
1.26,LowVolume5,4,10,1.00000000
1.26,LowVolume5,4,20,1.00000000
1.26,LowVolume5,4,30,1.00000000
1.26,LowVolume5,4,40,1.00000000
1.26,LowVolume5,4,50,1.04814522
1.26,LowVolume5,4,60,1.04814522
1.26,LowVolume5,4,70,1.04814522
1.26,LowVolume5,4,80,1.04814522
1.26,LowVolume5,4,90,0.69914120
1.26,LowVolume5,4,100,0.69914120
1.26,LowVolume5,4,110,0.69914120
1.26,LowVolume5,4,120,0.69914120
1.26,LowVolume5,4,130,0.69914120
1.26,LowVolume5,4,140,0.69914120
1.26,LowVolume5,4,150,0.73889381
1.26,LowVolume5,4,160,0.73889381
1.26,LowVolume5,4,170,0.73889381
1.26,LowVolume5,4,180,0.73889381
1.26,LowVolume5,4,190,0.73889381
1.26,LowVolume5,4,200,0.73889381
1.26,LowVolume5,5,0,1.00000000
1.26,LowVolume5,5,10,1.00000000
1.26,LowVolume5,5,20,1.00000000
1.26,LowVolume5,5,30,1.00000000
1.26,LowVolume5,5,40,0.67630179
1.26,LowVolume5,5,50,0.67630179
1.26,LowVolume5,5,60,0.67630179
1.26,LowVolume5,5,70,0.73266028
1.26,LowVolume5,5,80,0.73266028
1.26,LowVolume5,5,90,0.73266028
1.26,LowVolume5,5,100,0.73266028
1.26,LowVolume5,5,110,0.73266028
1.26,LowVolume5,5,120,0.73266028
1.26,LowVolume5,5,130,0.73266028
1.26,LowVolume5,5,140,0.73266028
1.26,LowVolume5,5,150,0.73266028
1.26,LowVolume5,5,160,0.73266028
1.26,LowVolume5,5,170,0.73266028
1.26,LowVolume5,5,180,0.73266028
1.26,LowVolume5,5,190,0.90831151
1.26,OldGuard4,0,0,1.00000000
1.26,OldGuard4,0,10,1.00000000
1.26,OldGuard4,0,20,0.99968358
1.26,OldGuard4,0,30,0.99968358
1.26,OldGuard4,0,40,1.29795068
1.26,OldGuard4,0,50,1.29795068
1.26,OldGuard4,0,60,1.29795068
1.26,OldGuard4,0,70,1.29795068
1.26,OldGuard4,0,80,1.72962010
1.26,OldGuard4,0,90,1.33690594
1.26,OldGuard4,0,100,1.54561109
1.26,OldGuard4,0,110,1.59896124
1.26,OldGuard4,0,120,1.38918107
1.26,OldGuard4,0,130,1.38918107
1.26,OldGuard4,0,140,1.38918107
1.26,OldGuard4,1,0,1.00000000
1.26,OldGuard4,1,10,0.69813236
1.26,OldGuard4,1,20,0.51381166
1.26,OldGuard4,1,30,0.51381166
1.26,OldGuard4,1,40,0.51381166
1.26,OldGuard4,1,50,0.51381166
1.26,OldGuard4,1,60,0.51381166
1.26,OldGuard4,1,70,0.51381166
1.26,OldGuard4,1,80,0.55978858
1.26,OldGuard4,1,90,0.55895162
1.26,OldGuard4,1,100,0.55895162
1.26,OldGuard4,1,110,0.50459405
1.26,OldGuard4,1,120,0.50459405
1.26,OldGuard4,1,130,0.50459405
1.26,OldGuard4,1,140,0.53538717
1.26,OldGuard4,1,150,0.53261862
1.26,OldGuard4,1,160,0.53261862
1.26,OldGuard4,2,0,1.00000000
1.26,OldGuard4,2,10,1.00000000
1.26,OldGuard4,2,20,1.00000000
1.26,OldGuard4,2,30,1.00000000
1.26,OldGuard4,2,40,1.00000000
1.26,OldGuard4,2,50,0.83858281
1.26,OldGuard4,2,60,0.84036988
1.26,OldGuard4,2,70,0.84036988
1.26,OldGuard4,2,80,0.84036988
1.26,OldGuard4,2,90,0.84036988
1.26,OldGuard4,2,100,0.89002427
1.26,OldGuard4,2,110,0.89002427
1.26,OldGuard4,2,120,1.87015372
1.26,OldGuard4,2,130,1.87015372
1.26,OldGuard4,2,140,1.87015372
1.26,OldGuard4,2,150,1.87015372
1.26,OldGuard4,2,160,2.33970703
1.26,OldGuard4,3,0,1.00000000
1.26,OldGuard4,3,10,1.00000000
1.26,OldGuard4,3,20,1.00000000
1.26,OldGuard4,3,30,1.00000000
1.26,OldGuard4,3,40,1.56440278
1.26,OldGuard4,3,50,1.27224483
1.26,OldGuard4,3,60,1.57494256
1.26,OldGuard4,3,70,1.57494256
1.26,OldGuard4,3,80,1.57494256
