cp,universe,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,equity_final,pass
11,Legacy4,2,147.0743,6.141013,19.77,12,58.33,2.470743,true
11,Legacy4,3,105.7817,6.327122,37.09,15,53.33,2.057817,true
11,Legacy4,4,50.4945,5.129727,25.10,11,54.55,1.504945,true
11,Legacy4,5,-26.4192,-2.256533,42.12,14,35.71,0.735808,false
11,Legacy5BNB,0,182.4020,7.129087,34.76,18,61.11,2.824020,true
11,Legacy5BNB,1,-7.7714,-0.919908,18.13,13,53.85,0.922286,false
11,Legacy5BNB,2,193.8608,7.019888,19.77,12,66.67,2.938608,true
11,Legacy5BNB,3,178.7579,7.276677,39.12,14,50.00,2.787579,true
11,Legacy5BNB,4,76.6896,8.108240,12.56,9,66.67,1.766896,true
11,Legacy5BNB,5,-3.3865,0.606234,22.69,11,36.36,0.966135,false
11,OldGuardNoBNB,0,227.0034,6.672261,41.64,20,60.00,3.270034,true
11,OldGuardNoBNB,1,-30.3228,-2.140145,48.33,13,38.46,0.696772,false
11,OldGuardNoBNB,2,147.0743,6.141013,19.77,12,58.33,2.470743,true
11,OldGuardNoBNB,3,105.7817,6.327122,37.09,15,53.33,2.057817,true
11,OldGuardNoBNB,4,30.1875,3.373587,25.10,12,50.00,1.301875,true
